?Concept	?Broader	?labelNL	?labelEN	?definitions	?altLabelsNL	?altLabelsEN	?reference	?comments
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0097	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c3256	adres	address	"<bag> door het bevoegde gemeentelijke orgaan aan een verblijfsobject, een standplaats of een ligplaats toegekende benaming, bestaande uit een combinatie van de naam van een openbare ruimte, een nummeraanduiding en de naam van een woonplaats; (bron: Wet basisregistratie adressen en gebouwen)"				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c3256	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c2179	ruimtelijke locatiereferentie	spatial location reference	Ruimtelijke locatie, vorm of geometrie van een entiteit t.o.v. een ruimtelijk locatiereferentiesysteem (bron: AOA Begrippen- en Definitielijst)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0101		afdekplaat	cover plate					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0104		afdichting	seal					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0105		afdichtingsprofiel	seal profile					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0113		afmeervoorziening			aanlegvoorziening			
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0117		afscheiderinstallatie (dynamisch)						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0118		afscheiderinstallatie (statisch)						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0119		afscheiding	partition					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0126		afsluitboom	rising arm barrier					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0127		afsluitboominstallatie	rising arm barrier installation					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0128		afsluitboomverlichting						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0129		afsluiter	gate valve					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0135		afvalbak	waste bin					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0136		afvalcontainer	waste container					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0138	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c3872	afvalstof	waste	stof, mengsel of voorwerp, waarvan de houder zich ontdoet, voornemens is zich te ontdoen of zich moet ontdoen; (bron: Wet milieubeheer)	afval			
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c3872	https://bimloket.nl/data/kernmodel/thesaurus#3558a562-2e31-4599-ad0e-8658c0bca110	materiaal	material	Passieve functionele entiteit van een chemische stof in een bepaalde context.			AOA Begrippen- en Definitielijst	Definitie herschreven t.b.v. de taxonomie.
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0139	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c3872	afvalwater	waste water	water waarvan de houder zich ontdoet, voornemens is zich te ontdoen of zich moet ontdoen. (bron: Wet milieubeheer)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0140		afvoer	drain					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0169		anker	anchor					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0170		ankergebied	anchorage area					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0173		anode	anode					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0174		antenne	antenna					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0178		antivandalismevoorziening	anti-vandalism provision					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0179		antiverblindingsscherm						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0182	https://w3id.org/nen2660/term#DiscreteObject	apparaat	device	discreet object dat een door mensen gemaakt samenstelsel van mechanische, elektrische en/of elektronische onderdelen vormt.		apparatus	Wikipedia, de vrije encyclopedie (NL)	Definitie herschreven zodat Discreet Object genoemd wordt.
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0183		appendage	fitting					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0194		aquaduct	aquaduct					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0206		arm						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0207		verlichtingsarmatuur			armatuur			
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0211		asbestemming	ash destination					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0212	https://w3id.org/nen2660/term#Mixture	asfalt	asphalt	homogenous mixture typically of coarse and fine aggregates, filler aggregate and bituminous binder which is used in the construction of a pavement (bron: EN 13108-1)	bitumineus mengsel	bituminous mixture		
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0215		asfaltconstructie						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0218	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1445	asfaltverharding		Gesloten verharding bestaande uit asfaltbeton of andere met bitumen gebonden materialen. (bron: CROW 156)	asfalt			
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1445	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0626	gesloten verharding	pavement	Verharding die ondoorlatend is voor hemelwater en grotendeels of geheel bestaat uit lagen die slechts door definitieve destructie te verwijderen zijn. (bron: CROW 156)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0219		asfaltwapening	reinforced asphalt					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0220		askoppeling	shaft coupling					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0225		assenstelsel	shaft system					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0226		asset	asset	zaak, ding of entiteit met potentiële of daadwerkelijke waarde voor een organisatie (3.1.13) (bron: NEN-ISO 55000)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0237		atletiekbaan	athletics track					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0276		bad						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0278		bak	bin					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0280	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c3897	baken	beacon	Opstaand markeringsteken dat dient ter ondersteuning bij navigatie van scheepvaartverkeer (bron: NPR 4768)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c3897	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c4754	vaarwegmarkering		Met behulp van markeringsvoorwerpen aangeven van de vaargeul, dan wel obstakels of gevaren in de vaargeul. Markeringsvoorwerpen kunnen boeien en bakens zijn (bron: Aquo Lex en Objectencatalogus)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0281	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c3897	bakenlijn		Lijn over de bakens op de koppen van de kribben of bakens langs een gestrekte rivieroever. (bron: Richtlijnen Vaarwegen)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0283		balanspriem	counterweight boom					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0284		balg	bellows					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0285		balk	beam					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0286		ballastweerstand	ballast resistor					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0287		ballenvanger	ball containment fencing					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0288		ballon						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0292		bank	bench					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0293		banket	banquette					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0298	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0613	basculekelder	bascule pit	Onderdeel (ruimte) van een basculebrug waarin het staartstuk met het contragewicht bij het openen van de brug rond de horizontale as kan draaien. (bron: NPR 4768)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0314		basketbalpaal	basketball basket					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0315		basketbalveld	basketball court					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0318		beachvolleyveld	beach volleyball court					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0322		bebording en bewegwijzering (statisch)						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0328	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c1797	bedienings- en besturingsinstallatie		Samenstel van automatiseringsystemen en bedieningsorganen waarmee installaties worden bewaakt, bediend en bestuurd (bron: NPR 4768)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0333	https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c4382	bedieningspaneel	operational control panel	Paneel waarmee een bedienaar een installatie (lokaal) kan bedienen (bron: NPR 4768)				
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0358		beeindigingsprofiel						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0359		beek	brook					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0365		beglazing						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0366		begraafplaats	cemetery					
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0370		begroeiing						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0371		begroeiingsvrij gebied						
https://bimloket.nl/data/kernmodel/thesaurus#718dcbf8-e701-4963-a26d-3897bc2c0380		beheerobject overstijgende voorziening						
